ns,assignee,clicks,rot_deg,pan_vox,zoom,rot_per_click,pan_per_click,effort_before_click
somaSomaSplit,S03,65,0.0,1.510882731616482e+19,0.53,0.0,2.3244349717176643e+17,2324434971717664.5
somaSomaSplit,S03,10,0.2330088479546508,0.0,0.0,0.023300884795465,0.0,0.023300884795465
somaSomaSplit,S03,53,0.0,118574.23100742606,0.0,0.0,2237.2496416495483,22.372496416495483
somaSomaSplit,S03,25,0.0,0.0,0.0,0.0,0.0,0.0
somaSomaSplit,S03,21,0.0,0.0,0.0,0.0,0.0,0.0
somaSomaSplit,S03,34,0.0840566039516941,0.0,0.0,0.0024722530574027,0.0,0.0024722530574027
somaSomaSplit,S03,38,0.0,0.0,2.68,0.0,0.0,0.0
somaSomaSplit,S03,8,0.0,0.0,2.55,0.0,0.0,0.0
somaSomaSplit,S03,53,0.3477358629389606,19004220247.344875,0.69,0.0065610540177162,358570193.3461297,3585701.940022351
somaSomaSplit,S03,49,0.0,0.0,0.0,0.0,0.0,0.0
somaSomaSplit,S03,27,0.1374566841355632,0.0,1.27,0.0050909883013171,0.0,0.0050909883013171
somaSomaSplit,S03,26,0.5078498801461647,3953256568.4162703,2.3,0.0195326876979294,152048329.55447194,1520483.315077407
somaSomaSplit,S03,28,0.0,0.0,1.79,0.0,0.0,0.0
somaSomaSplit,S03,47,0.0769523407669979,22700352.45316137,0.59,0.0016372838461063,482986.2224076888,4829.863861360734
somaSomaSplit,S03,30,0.0,0.0,0.0,0.0,0.0,0.0
somaSomaSplit,S03,24,0.0,340668.80232931813,0.4,0.0,14194.533430388256,141.94533430388256
multiSomaSplit,U04,14,0.0327023028457086,183767112.4325512,1.88,0.0023358787746934,13126222.3166108,131262.22550198677
multiSomaSplit,U04,26,0.0838054659152948,0.0,2.83,0.0032232871505882,0.0,0.0032232871505882
somaSomaReview,U08,10,0.0,0.0,0.0,0.0,0.0,0.0
somaSomaReview,U08,10,0.1028179253302934,7863.996923725705,1.3,0.0102817925330293,786.3996923725705,7.874278716258733
somaSomaReview,U08,6,0.0,1.8875232821411767,1.19,0.0,0.3145872136901961,0.0031458721369019
somaSomaReview,U08,3,0.0927746099988685,3344631012.1732554,0.75,0.0309248699996228,1114877004.057752,11148770.071502386
somaSomaReview,U08,21,0.0588976808798925,0.0,0.0,0.002804651470471,0.0,0.002804651470471
somaSomaReview,U08,36,0.0,4594479725.575666,4.61,0.0,127624436.82154629,1276244.3682154631
somaSomaReview,U08,8,0.0,0.0,1.37,0.0,0.0,0.0
somaSomaReview,U08,3,0.0,1009056.0721111882,0.0,0.0,336352.0240370627,2657.383573703961
somaSomaReview,U08,9,0.0,832534.1868732419,0.02,0.0,92503.79854147132,925.0379854147131
somaSomaReview,U08,9,0.0,0.0,0.0,0.0,0.0,0.0
somaSomaReview,U08,7,0.0,182722314.859375,6.91,0.0,26103187.83705357,261031.8783705357
somaSomaReview,U08,3,0.058108065436866,292.0607622234908,0.0,0.019369355145622,97.35358740783026,0.9929052292239244
somaSomaReview,U08,9,0.0,149600.294667267,0.0,0.0,16622.254963029667,166.22254963029667
somaSomaReview,U08,20,186.10512554348583,1709743.8854834866,0.0,9.30525627717429,85487.19427417433,864.1771990189176
somaSomaReview,U08,4,0.0430769000756702,239076.40628283907,0.0,0.0107692250189175,59769.10157070977,597.7017849321165
somaSomaReview,U08,15,0.0,0.0,0.0,0.0,0.0,0.0
somaSomaReview,U08,7,0.076617867780221,1533193.999679406,0.0,0.0109454096828887,219027.71423991516,2157.1752306659773
somaSomaReview,U08,3,0.0167585877108245,1843743.492919725,0.36,0.0055861959036081,614581.164306575,0.0089195292369415
somaSomaReview,U08,8,0.0,11.82307727497372,0.17,0.0,1.477884659371715,0.0147788465937171
somaSomaReview,U08,9,0.0,2056888.829482588,4.34,0.0,228543.20327584312,2285.4320327584305
somaSomaReview,U08,8,0.1144360108175282,0.0,0.0,0.014304501352191,0.0,0.014304501352191
somaSomaReview,U08,8,0.0,0.0,0.0,0.0,0.0,0.0
somaSomaReview,U08,10,0.0,0.0,0.0,0.0,0.0,0.0
somaSomaReview,U08,12,0.1276964463003683,382.3826214756704,0.0,0.0106413705250306,31.865218456305865,0.3292935550880894
somaSomaReview,U08,4,0.0132014248078556,362.64763302431214,0.26,0.0033003562019639,90.66190825607804,0.9099194387627444
fullyProofread,S10,15,0.0,0.0,0.0,0.0,0.0,0.0
fullyProofread,S10,9,0.021730916145757,70346.88830076708,0.0,0.0024145462384174,7816.320922307454,78.16562376931296
fullyProofread,S10,8,0.0253252836951227,0.0,4.07,0.0031656604618903,0.0,0.0
fullyProofread,S10,9,0.0,0.0,0.0,0.0,0.0,0.0
fullyProofread,S10,9,734.6020845973741,0.0,0.0,81.62245384415267,0.0,81.61840761025509
fullyProofread,S10,10,0.0190376468755889,0.0,0.0,0.0019037646875588,0.0,0.0
fullyProofread,S10,10,0.0,0.0,0.0,0.0,0.0,0.0
fullyProofread,S10,15,0.0,0.0,4.54,0.0,0.0,0.0
fullyProofread,S02,15,0.0364422853124431,208862947809378.0,3.17,0.0024294856874962,13924196520625.2,69620982654.17067
fullyProofread,S10,8,0.0909688387862798,0.0,0.75,0.0113711048482849,0.0,0.0113711048482849
fullyProofread,S02,16,0.0,0.0,2.88,0.0,0.0,0.0
fullyProofread,S10,8,0.1264763205214782,0.0,0.0,0.0158095400651847,0.0,0.0118571550488885
fullyProofread,S02,7,0.0,15367.512963343412,1.18,0.0,2195.3589947633445,21.953589947633446
fullyProofread,S10,7,0.0,12894.128380334703,5.14,0.0,1842.0183400478147,0.0
fullyProofread,S02,5,0.1856434529029263,0.0,1.11,0.0371286905805852,0.0,0.0371286905805852
fullyProofread,S02,6,0.0334542219608633,5341.398563474889,0.75,0.0055757036601438,890.2330939124814,0.0055757036601438
fullyProofread,S10,12,0.0,0.0,0.0,0.0,0.0,0.0
fullyProofread,S02,15,0.0,0.0,1.17,0.0,0.0,0.0
fullyProofread,S10,8,0.0441297587385326,0.0,2.83,0.0055162198423165,0.0,0.0055162198423165
fullyProofread,S02,22,10.664752237411737,0.0,0.96,0.484761465336897,0.0,0.0012630992235461
fullyProofread,S10,8,0.0,0.0,0.0,0.0,0.0,0.0
fullyProofread,S02,6,0.3193069114042782,9484.239200135513,2.53,0.0532178185673797,1580.7065333559187,15.85402429036094
